id,title,artist,bpm,tone,duration
1-Up6Vs9TxHzXOljAG_yP5eKBb1Zs-fim,CAJON.wav,Jorge Guardamino,75,Gm,4:30
1-cH5T10bOqnQNuQd12MqB6FQ9vYotyTv,BASS.wav,Jorge Guardamino,75,Gm,4:30
1-RQUjwK8xmbXXtb7HsvVs9KffOHuraCJ,VOZ FONDO 1.wav,Jorge Guardamino,75,Gm,4:30
1-RUe0NwyxtRlaYZtG9F3fak36a26JleZ,VOZ FONDO 2.wav,Jorge Guardamino,75,Gm,4:30
1-UqMWFdpve4ow-5HEOSyvit6h7uMK86k,BGVS 4.wav,Jorge Guardamino,75,Gm,4:30
1-Kr9nTqPEWJsKlNKgsIFc8zrOEfUTDC2,VOZ LEAD.wav,Jorge Guardamino,75,Gm,4:30
1-_3y-umwRIzLWPpMN3THt6JKlT0XX_9L,BGVS 2.wav,Jorge Guardamino,75,Gm,4:30
1-h46Cd4KDdnI9cVV1DMLteAnVpAHQFu3,BGVS 1.wav,Jorge Guardamino,75,Gm,4:30
1-lz4xEwt9pCKtueM2prdk7PFHWQQLw-H,BGVS 3.wav,Jorge Guardamino,75,Gm,4:30
1-TkKO4INa57alB3MdaGcmoAnJkUgkTRk,CAJITA.wav,Jorge Guardamino,75,Gm,4:30
1-mYmHfIPmJuxGuVLUN2KIHNCS2jOnses,AG 2.wav,Jorge Guardamino,75,Gm,4:30
1-WID9AmKScceELVawRY6ThZ8ttzGrqNO,AG 1.wav,Jorge Guardamino,75,Gm,4:30
